Assembled_VSG_188	Cluster 0
Assembled_VSG_76172	Cluster 22
Assembled_VSG_343	Cluster 22
Assembled_VSG_352	Cluster 22
Assembled_VSG_47536	Cluster 22
Assembled_VSG_36362	Cluster 22
Assembled_VSG_57021	Cluster 22
Assembled_VSG_66825	Cluster 22
Assembled_VSG_344	Cluster 23
Assembled_VSG_345	Cluster 23
Assembled_VSG_347	Cluster 24
Assembled_VSG_351	Cluster 25
Assembled_VSG_1534	Cluster 25
Assembled_VSG_1061	Cluster 25
Assembled_VSG_31365	Cluster 25
Assembled_VSG_31371	Cluster 25
Assembled_VSG_348	Cluster 26
Assembled_VSG_349	Cluster 26
Assembled_VSG_22622	Cluster 27
Assembled_VSG_350	Cluster 27
Assembled_VSG_354	Cluster 28
Assembled_VSG_381	Cluster 28
Assembled_VSG_353	Cluster 29
Assembled_VSG_355	Cluster 30
Assembled_VSG_356	Cluster 30
Assembled_VSG_429	Cluster 30
Assembled_VSG_407	Cluster 30
Assembled_VSG_357	Cluster 30
Assembled_VSG_358	Cluster 30
Assembled_VSG_359	Cluster 30
Assembled_VSG_360	Cluster 30
Assembled_VSG_361	Cluster 30
Assembled_VSG_362	Cluster 31
Assembled_VSG_71744	Cluster 32
Assembled_VSG_27158	Cluster 32
Assembled_VSG_30553	Cluster 32
Assembled_VSG_367	Cluster 32
Assembled_VSG_24257	Cluster 32
Assembled_VSG_27168	Cluster 32
Assembled_VSG_32049	Cluster 32
Assembled_VSG_364	Cluster 32
Assembled_VSG_32058	Cluster 32
Assembled_VSG_32054	Cluster 32
Assembled_VSG_366	Cluster 32
Assembled_VSG_32056	Cluster 32
Assembled_VSG_31114	Cluster 32
Assembled_VSG_32067	Cluster 32
Assembled_VSG_24406	Cluster 32
Assembled_VSG_368	Cluster 32
Assembled_VSG_28036	Cluster 32
Assembled_VSG_371	Cluster 32
Assembled_VSG_47918	Cluster 32
Assembled_VSG_20025	Cluster 32
Assembled_VSG_31433	Cluster 32
Assembled_VSG_25104	Cluster 32
Assembled_VSG_373	Cluster 32
Assembled_VSG_25462	Cluster 32
Assembled_VSG_32548	Cluster 32
Assembled_VSG_47921	Cluster 32
Assembled_VSG_47923	Cluster 32
Assembled_VSG_47924	Cluster 32
Assembled_VSG_42187	Cluster 32
Assembled_VSG_374	Cluster 32
Assembled_VSG_375	Cluster 32
Assembled_VSG_51518	Cluster 32
Assembled_VSG_25585	Cluster 32
Assembled_VSG_25588	Cluster 32
Assembled_VSG_32561	Cluster 32
Assembled_VSG_32562	Cluster 32
Assembled_VSG_25473	Cluster 32
Assembled_VSG_26121	Cluster 32
Assembled_VSG_25968	Cluster 32
Assembled_VSG_32100	Cluster 32
Assembled_VSG_26296	Cluster 32
Assembled_VSG_32102	Cluster 32
Assembled_VSG_47930	Cluster 32
Assembled_VSG_24076	Cluster 32
Assembled_VSG_25979	Cluster 32
Assembled_VSG_32106	Cluster 32
Assembled_VSG_25479	Cluster 32
Assembled_VSG_25595	Cluster 32
Assembled_VSG_32114	Cluster 32
Assembled_VSG_25484	Cluster 32
Assembled_VSG_24886	Cluster 32
Assembled_VSG_25780	Cluster 32
Assembled_VSG_26131	Cluster 32
Assembled_VSG_47938	Cluster 32
Assembled_VSG_19844	Cluster 32
Assembled_VSG_30932	Cluster 32
Assembled_VSG_20040	Cluster 32
Assembled_VSG_26497	Cluster 32
Assembled_VSG_47941	Cluster 32
Assembled_VSG_25989	Cluster 32
Assembled_VSG_25789	Cluster 32
Assembled_VSG_24752	Cluster 32
Assembled_VSG_25603	Cluster 32
Assembled_VSG_47944	Cluster 32
Assembled_VSG_31593	Cluster 32
Assembled_VSG_32583	Cluster 32
Assembled_VSG_24758	Cluster 32
Assembled_VSG_25489	Cluster 32
Assembled_VSG_47945	Cluster 32
Assembled_VSG_31243	Cluster 32
Assembled_VSG_26000	Cluster 32
Assembled_VSG_26502	Cluster 32
Assembled_VSG_19529	Cluster 32
Assembled_VSG_25299	Cluster 32
Assembled_VSG_377	Cluster 32
Assembled_VSG_32124	Cluster 32
Assembled_VSG_25610	Cluster 32
Assembled_VSG_71014	Cluster 33
Assembled_VSG_75697	Cluster 33
Assembled_VSG_365	Cluster 33
Assembled_VSG_27693	Cluster 33
Assembled_VSG_70371	Cluster 33
Assembled_VSG_50065	Cluster 33
Assembled_VSG_42422	Cluster 33
Assembled_VSG_34341	Cluster 33
Assembled_VSG_52799	Cluster 33
Assembled_VSG_73731	Cluster 33
Assembled_VSG_27415	Cluster 33
Assembled_VSG_36824	Cluster 33
Assembled_VSG_25757	Cluster 33
Assembled_VSG_25586	Cluster 33
Assembled_VSG_26120	Cluster 33
Assembled_VSG_25969	Cluster 33
Assembled_VSG_24318	Cluster 33
Assembled_VSG_25986	Cluster 33
Assembled_VSG_24890	Cluster 33
Assembled_VSG_26140	Cluster 33
Assembled_VSG_19530	Cluster 33
Assembled_VSG_25300	Cluster 33
Assembled_VSG_25609	Cluster 33
Assembled_VSG_369	Cluster 34
Assembled_VSG_370	Cluster 34
Assembled_VSG_2615	Cluster 34
Assembled_VSG_47870	Cluster 35
Assembled_VSG_27159	Cluster 35
Assembled_VSG_32055	Cluster 35
Assembled_VSG_32060	Cluster 35
Assembled_VSG_68475	Cluster 35
Assembled_VSG_372	Cluster 35
Assembled_VSG_44687	Cluster 35
Assembled_VSG_47919	Cluster 35
Assembled_VSG_47931	Cluster 35
Assembled_VSG_47932	Cluster 35
Assembled_VSG_47933	Cluster 35
Assembled_VSG_376	Cluster 35
Assembled_VSG_47936	Cluster 35
Assembled_VSG_74148	Cluster 35
Assembled_VSG_25790	Cluster 35
Assembled_VSG_47946	Cluster 35
Assembled_VSG_44731	Cluster 35
Assembled_VSG_379	Cluster 36
Assembled_VSG_378	Cluster 37
Assembled_VSG_380	Cluster 37
Assembled_VSG_382	Cluster 38
Assembled_VSG_8382	Cluster 38
Assembled_VSG_62089	Cluster 39
Assembled_VSG_385	Cluster 39
Assembled_VSG_3615	Cluster 39
Assembled_VSG_62111	Cluster 39
Assembled_VSG_383	Cluster 40
Assembled_VSG_4138	Cluster 40
Assembled_VSG_823	Cluster 40
Assembled_VSG_1033	Cluster 41
Assembled_VSG_1034	Cluster 41
Assembled_VSG_420	Cluster 41
Assembled_VSG_384	Cluster 41
Assembled_VSG_59007	Cluster 41
Assembled_VSG_5995	Cluster 41
Assembled_VSG_1213	Cluster 42
Assembled_VSG_386	Cluster 42
Assembled_VSG_4850	Cluster 42
Assembled_VSG_25627	Cluster 43
Assembled_VSG_548	Cluster 43
Assembled_VSG_387	Cluster 43
Assembled_VSG_56553	Cluster 43
Assembled_VSG_547	Cluster 43
Assembled_VSG_51814	Cluster 43
Assembled_VSG_56552	Cluster 43
Assembled_VSG_44466	Cluster 43
Assembled_VSG_44469	Cluster 43
Assembled_VSG_388	Cluster 44
Assembled_VSG_389	Cluster 45
Assembled_VSG_470	Cluster 45
Assembled_VSG_390	Cluster 46
Assembled_VSG_391	Cluster 46
Assembled_VSG_61335	Cluster 46
Assembled_VSG_392	Cluster 47
Assembled_VSG_394	Cluster 47
Assembled_VSG_15487	Cluster 48
Assembled_VSG_393	Cluster 48
Assembled_VSG_670	Cluster 48
Assembled_VSG_395	Cluster 49
Assembled_VSG_469	Cluster 50
Assembled_VSG_41424	Cluster 50
Assembled_VSG_396	Cluster 50
Assembled_VSG_3041	Cluster 50
Assembled_VSG_54828	Cluster 51
Assembled_VSG_427	Cluster 51
Assembled_VSG_397	Cluster 51
Assembled_VSG_3147	Cluster 51
Assembled_VSG_3372	Cluster 51
Assembled_VSG_6020	Cluster 51
Assembled_VSG_3050	Cluster 51
Assembled_VSG_1747	Cluster 51
Assembled_VSG_1559	Cluster 51
Assembled_VSG_1260	Cluster 51
Assembled_VSG_24776	Cluster 51
Assembled_VSG_398	Cluster 52
Assembled_VSG_399	Cluster 52
Assembled_VSG_400	Cluster 52
Assembled_VSG_69902	Cluster 53
Assembled_VSG_69904	Cluster 53
Assembled_VSG_402	Cluster 53
Assembled_VSG_8516	Cluster 53
Assembled_VSG_74402	Cluster 53
Assembled_VSG_70621	Cluster 53
Assembled_VSG_8197	Cluster 53
Assembled_VSG_12605	Cluster 53
Assembled_VSG_3885	Cluster 53
Assembled_VSG_15598	Cluster 53
Assembled_VSG_15599	Cluster 53
Assembled_VSG_67533	Cluster 53
Assembled_VSG_75619	Cluster 53
Assembled_VSG_57573	Cluster 53
Assembled_VSG_11966	Cluster 53
Assembled_VSG_65743	Cluster 53
Assembled_VSG_67528	Cluster 53
Assembled_VSG_66982	Cluster 53
Assembled_VSG_6171	Cluster 53
Assembled_VSG_69168	Cluster 53
Assembled_VSG_69035	Cluster 53
Assembled_VSG_74875	Cluster 53
Assembled_VSG_73210	Cluster 53
Assembled_VSG_17898	Cluster 53
Assembled_VSG_63526	Cluster 53
Assembled_VSG_68008	Cluster 53
Assembled_VSG_75025	Cluster 53
Assembled_VSG_67432	Cluster 53
Assembled_VSG_6597	Cluster 53
Assembled_VSG_67793	Cluster 53
Assembled_VSG_403	Cluster 54
Assembled_VSG_404	Cluster 54
Assembled_VSG_401	Cluster 55
Assembled_VSG_71483	Cluster 56
Assembled_VSG_445	Cluster 56
Assembled_VSG_43031	Cluster 56
Assembled_VSG_71023	Cluster 56
Assembled_VSG_510	Cluster 56
Assembled_VSG_45031	Cluster 56
Assembled_VSG_408	Cluster 56
Assembled_VSG_49445	Cluster 57
Assembled_VSG_65247	Cluster 57
Assembled_VSG_6068	Cluster 57
Assembled_VSG_409	Cluster 57
Assembled_VSG_6073	Cluster 57
Assembled_VSG_65244	Cluster 57
Assembled_VSG_410	Cluster 58
Assembled_VSG_411	Cluster 59
Assembled_VSG_415	Cluster 59
Assembled_VSG_412	Cluster 59
Assembled_VSG_413	Cluster 59
Assembled_VSG_414	Cluster 59
Assembled_VSG_416	Cluster 59
Assembled_VSG_417	Cluster 59
Assembled_VSG_418	Cluster 59
Assembled_VSG_419	Cluster 60
Assembled_VSG_424	Cluster 61
Assembled_VSG_2524	Cluster 61
Assembled_VSG_422	Cluster 62
Assembled_VSG_59975	Cluster 62
Assembled_VSG_59976	Cluster 62
Assembled_VSG_10462	Cluster 62
Assembled_VSG_10606	Cluster 62
Assembled_VSG_423	Cluster 62
Assembled_VSG_54885	Cluster 62
Assembled_VSG_9484	Cluster 63
Assembled_VSG_9476	Cluster 63
Assembled_VSG_426	Cluster 63
Assembled_VSG_425	Cluster 63
Assembled_VSG_428	Cluster 64
Assembled_VSG_436	Cluster 65
Assembled_VSG_435	Cluster 65
Assembled_VSG_430	Cluster 65
Assembled_VSG_421	Cluster 65
Assembled_VSG_12455	Cluster 65
Assembled_VSG_593	Cluster 65
Assembled_VSG_594	Cluster 65
Assembled_VSG_2023	Cluster 66
Assembled_VSG_433	Cluster 66
Assembled_VSG_7686	Cluster 66
Assembled_VSG_2063	Cluster 66
Assembled_VSG_2075	Cluster 66
Assembled_VSG_2101	Cluster 66
Assembled_VSG_431	Cluster 67
Assembled_VSG_432	Cluster 67
Assembled_VSG_434	Cluster 68
Assembled_VSG_7327	Cluster 69
Assembled_VSG_6439	Cluster 69
Assembled_VSG_7946	Cluster 69
Assembled_VSG_440	Cluster 69
Assembled_VSG_678	Cluster 69
Assembled_VSG_1177	Cluster 69
Assembled_VSG_4106	Cluster 69
Assembled_VSG_4107	Cluster 69
Assembled_VSG_666	Cluster 69
Assembled_VSG_2329	Cluster 69
Assembled_VSG_491	Cluster 69
Assembled_VSG_672	Cluster 69
Assembled_VSG_8179	Cluster 69
Assembled_VSG_8178	Cluster 69
Assembled_VSG_617	Cluster 69
Assembled_VSG_6642	Cluster 69
Assembled_VSG_688	Cluster 69
Assembled_VSG_7590	Cluster 69
Assembled_VSG_48667	Cluster 69
Assembled_VSG_8184	Cluster 69
Assembled_VSG_8185	Cluster 69
Assembled_VSG_48756	Cluster 69
Assembled_VSG_7056	Cluster 69
Assembled_VSG_12723	Cluster 69
Assembled_VSG_8504	Cluster 69
Assembled_VSG_5335	Cluster 69
Assembled_VSG_4537	Cluster 69
Assembled_VSG_5111	Cluster 69
Assembled_VSG_6172	Cluster 69
Assembled_VSG_5536	Cluster 69
Assembled_VSG_7669	Cluster 69
Assembled_VSG_5112	Cluster 69
Assembled_VSG_6175	Cluster 69
Assembled_VSG_6456	Cluster 69
Assembled_VSG_4115	Cluster 69
Assembled_VSG_6177	Cluster 69
Assembled_VSG_5551	Cluster 69
Assembled_VSG_1157	Cluster 69
Assembled_VSG_5114	Cluster 69
Assembled_VSG_1133	Cluster 69
Assembled_VSG_4900	Cluster 69
Assembled_VSG_6407	Cluster 69
Assembled_VSG_5837	Cluster 69
Assembled_VSG_5739	Cluster 69
Assembled_VSG_5115	Cluster 69
Assembled_VSG_5740	Cluster 69
Assembled_VSG_5741	Cluster 69
Assembled_VSG_5849	Cluster 69
Assembled_VSG_4946	Cluster 69
Assembled_VSG_5970	Cluster 69
Assembled_VSG_6412	Cluster 69
Assembled_VSG_5971	Cluster 69
Assembled_VSG_8876	Cluster 69
Assembled_VSG_5698	Cluster 69
Assembled_VSG_4748	Cluster 69
Assembled_VSG_4129	Cluster 69
Assembled_VSG_5891	Cluster 69
Assembled_VSG_5901	Cluster 69
Assembled_VSG_5011	Cluster 69
Assembled_VSG_2145	Cluster 70
Assembled_VSG_441	Cluster 70
Assembled_VSG_442	Cluster 71
Assembled_VSG_7644	Cluster 72
Assembled_VSG_3875	Cluster 72
Assembled_VSG_438	Cluster 72
Assembled_VSG_674	Cluster 72
Assembled_VSG_675	Cluster 72
Assembled_VSG_47202	Cluster 72
Assembled_VSG_439	Cluster 73
Assembled_VSG_712	Cluster 74
Assembled_VSG_668	Cluster 74
Assembled_VSG_720	Cluster 74
Assembled_VSG_719	Cluster 74
Assembled_VSG_23943	Cluster 74
Assembled_VSG_687	Cluster 74
Assembled_VSG_32220	Cluster 74
Assembled_VSG_23239	Cluster 74
Assembled_VSG_23658	Cluster 74
Assembled_VSG_32059	Cluster 74
Assembled_VSG_718	Cluster 74
Assembled_VSG_697	Cluster 74
Assembled_VSG_698	Cluster 74
Assembled_VSG_717	Cluster 74
Assembled_VSG_716	Cluster 74
Assembled_VSG_722	Cluster 74
Assembled_VSG_1130	Cluster 74
Assembled_VSG_1139	Cluster 74
Assembled_VSG_727	Cluster 74
Assembled_VSG_601	Cluster 74
Assembled_VSG_694	Cluster 74
Assembled_VSG_732	Cluster 74
Assembled_VSG_676	Cluster 74
Assembled_VSG_690	Cluster 74
Assembled_VSG_691	Cluster 74
Assembled_VSG_736	Cluster 74
Assembled_VSG_737	Cluster 74
Assembled_VSG_455	Cluster 74
Assembled_VSG_449	Cluster 74
Assembled_VSG_741	Cluster 74
Assembled_VSG_743	Cluster 74
Assembled_VSG_744	Cluster 74
Assembled_VSG_612	Cluster 74
Assembled_VSG_1327	Cluster 74
Assembled_VSG_1328	Cluster 74
Assembled_VSG_746	Cluster 74
Assembled_VSG_1126	Cluster 74
Assembled_VSG_747	Cluster 74
Assembled_VSG_748	Cluster 74
Assembled_VSG_750	Cluster 74
Assembled_VSG_1127	Cluster 74
Assembled_VSG_560	Cluster 74
Assembled_VSG_751	Cluster 74
Assembled_VSG_752	Cluster 74
Assembled_VSG_753	Cluster 74
Assembled_VSG_756	Cluster 74
Assembled_VSG_758	Cluster 74
Assembled_VSG_443	Cluster 74
Assembled_VSG_759	Cluster 74
Assembled_VSG_444	Cluster 74
Assembled_VSG_760	Cluster 74
Assembled_VSG_613	Cluster 74
Assembled_VSG_763	Cluster 74
Assembled_VSG_764	Cluster 74
Assembled_VSG_603	Cluster 74
Assembled_VSG_769	Cluster 74
Assembled_VSG_562	Cluster 74
Assembled_VSG_563	Cluster 74
Assembled_VSG_70650	Cluster 74
Assembled_VSG_772	Cluster 74
Assembled_VSG_773	Cluster 74
Assembled_VSG_774	Cluster 74
Assembled_VSG_775	Cluster 74
Assembled_VSG_454	Cluster 75
Assembled_VSG_446	Cluster 76
Assembled_VSG_32284	Cluster 76
Assembled_VSG_644	Cluster 76
Assembled_VSG_447	Cluster 76
Assembled_VSG_11921	Cluster 77
Assembled_VSG_11910	Cluster 77
Assembled_VSG_11926	Cluster 77
Assembled_VSG_11834	Cluster 77
Assembled_VSG_11833	Cluster 77
Assembled_VSG_52152	Cluster 77
Assembled_VSG_11932	Cluster 77
Assembled_VSG_9175	Cluster 77
Assembled_VSG_11961	Cluster 77
Assembled_VSG_38046	Cluster 77
Assembled_VSG_11982	Cluster 77
Assembled_VSG_448	Cluster 77
Assembled_VSG_8817	Cluster 77
Assembled_VSG_12004	Cluster 77
Assembled_VSG_38133	Cluster 77
Assembled_VSG_38134	Cluster 77
Assembled_VSG_12012	Cluster 77
Assembled_VSG_50072	Cluster 77
Assembled_VSG_50077	Cluster 77
Assembled_VSG_12065	Cluster 77
Assembled_VSG_12088	Cluster 77
Assembled_VSG_50085	Cluster 77
Assembled_VSG_8256	Cluster 77
Assembled_VSG_49973	Cluster 77
Assembled_VSG_49974	Cluster 77
Assembled_VSG_8886	Cluster 78
Assembled_VSG_477	Cluster 78
Assembled_VSG_450	Cluster 78
Assembled_VSG_451	Cluster 78
Assembled_VSG_818	Cluster 78
Assembled_VSG_456	Cluster 79
Assembled_VSG_457	Cluster 79
Assembled_VSG_452	Cluster 79
Assembled_VSG_463	Cluster 79
Assembled_VSG_465	Cluster 79
Assembled_VSG_458	Cluster 80
Assembled_VSG_459	Cluster 80
Assembled_VSG_14140	Cluster 80
Assembled_VSG_460	Cluster 80
Assembled_VSG_461	Cluster 80
Assembled_VSG_23833	Cluster 80
Assembled_VSG_462	Cluster 80
Assembled_VSG_453	Cluster 80
Assembled_VSG_464	Cluster 80
Assembled_VSG_466	Cluster 81
Assembled_VSG_60409	Cluster 81
Assembled_VSG_57005	Cluster 82
Assembled_VSG_33006	Cluster 82
Assembled_VSG_468	Cluster 82
Assembled_VSG_70918	Cluster 82
Assembled_VSG_783	Cluster 83
Assembled_VSG_782	Cluster 83
Assembled_VSG_54169	Cluster 83
Assembled_VSG_467	Cluster 83
Assembled_VSG_54176	Cluster 83
Assembled_VSG_471	Cluster 84
Assembled_VSG_472	Cluster 84
Assembled_VSG_473	Cluster 84
Assembled_VSG_474	Cluster 84
Assembled_VSG_13916	Cluster 84
Assembled_VSG_476	Cluster 84
Assembled_VSG_475	Cluster 84
Assembled_VSG_1868	Cluster 84
Assembled_VSG_13917	Cluster 84
Assembled_VSG_14337	Cluster 84
Assembled_VSG_1504	Cluster 84
Assembled_VSG_11756	Cluster 84
Assembled_VSG_8193	Cluster 84
Assembled_VSG_11760	Cluster 84
Assembled_VSG_11767	Cluster 84
Assembled_VSG_11858	Cluster 84
Assembled_VSG_8357	Cluster 84
Assembled_VSG_11769	Cluster 84
Assembled_VSG_11862	Cluster 84
Assembled_VSG_11864	Cluster 84
Assembled_VSG_11781	Cluster 84
Assembled_VSG_8252	Cluster 84
Assembled_VSG_11783	Cluster 84
Assembled_VSG_11785	Cluster 84
Assembled_VSG_12080	Cluster 84
Assembled_VSG_45586	Cluster 84
Assembled_VSG_8521	Cluster 84
Assembled_VSG_8258	Cluster 84
Assembled_VSG_11871	Cluster 84
Assembled_VSG_10107	Cluster 84
Assembled_VSG_11613	Cluster 84
Assembled_VSG_71971	Cluster 84
Assembled_VSG_13407	Cluster 84
Assembled_VSG_13057	Cluster 84
Assembled_VSG_478	Cluster 85
Assembled_VSG_488	Cluster 85
Assembled_VSG_479	Cluster 86
Assembled_VSG_485	Cluster 87
